Sentence,MaxSum,MMR
"Finland, on behalf of the European Union (EU), highlighted the Stern Review and stressed the need for long-term action where adaptation complements mitigation.","review, union, stressed need, need long term, long term","adaptation complements mitigation, need, need long term, complements, long term, union eu highlighted"
"Algeria, on behalf of the G-77, urged parties to the Convention not to go beyond the original mandate.","behalf 77, original, parties convention, behalf, urged, 77 urged, behalf 77 urged, 77 urged parties","77 urged parties, urged, convention original mandate, behalf 77 urged, behalf, parties, algeria behalf"
"Trinidad and Tobago, on behalf of AOSIS, said the recommendations to COP-1 should include initiating negotiations on a protocol.","aosis said, initiating, recommendations cop, aosis said recommendations, cop include initiating, said recommendations cop, initiating negotiations, include initiating negotiations","include initiating negotiations, said recommendations cop, initiating, recommendations cop include, initiating negotiations protocol, aosis said recommendations, cop include initiating, behalf aosis said"
"The US, supported by the EU, suggested that workshops be organized based on status of preparation of communications, rather than on regions.","supported, eu suggested workshops, based status, status preparation, based, preparation communications regions, workshops organized based, preparation, suggested workshops organized","suggested workshops organized, preparation, preparation communications regions, organized based status, suggested, workshops, workshops organized based"
"Argentina, on behalf of a group of developing countries, and China said measures taken on climate change under the IMO and ICAO should respect the principles and provisions of the Convention, in particular common but differentiated responsibilities (CBDR).","icao respect principles, respect principles, countries china said, china said measures","china said measures, respect principles provisions, group developing countries, developing, principles, icao respect principles"
"CANADA, supported by the US, preferred deciding that the ADP “should aim to” prepare a negotiating text instead of “shall.”",,
This was opposed by the LDCs who cautioned against “slippage in timing.”,,
Benin said the texts are an “excellent” and “significant” step forward towards achieving an international agreement supported by both developed and developing countries.,"agreement, agreement supported developed","achieving international agreement, agreement supported developed, agreement, significant step forward"
"SAUDI ARABIA, supported by the UNITED ARAB EMIRATES and QATAR, noted that the issue had been pending for “a very long time” but requested that reference linking a workshop on 1/CP.10 to a workshop on Protocol Articles 2.3 and 3.14 be deleted.","linking workshop cp, protocol articles 14, long time requested, articles 14","articles 14 deleted, pending long time, linking workshop cp, time"
"The EU, supported by many parties, proposed a draft decision to strengthen the implementation of decision 36/CP.7 (enhancing participation of women in UNFCCC bodies).","decision strengthen, bodies, decision 36 cp, enhancing participation, 36 cp, parties proposed","strengthen implementation decision, parties proposed draft, decision 36 cp, parties proposed"
"CHINA, supported by NIGERIA, SYRIAN ARAB REPUBLIC, OMAN and BRAZIL, stressed the need to mobilize funding for the Adaptation Fund.","arab republic, supported, stressed need, mobilize, need mobilize, need mobilize funding, mobilize funding adaptation","mobilize funding adaptation, stressed, funding adaptation fund, stressed need mobilize, oman, brazil, mobilize, brazil stressed need, need mobilize funding"
"Tuvalu, supported by AOSIS, argued that this agenda item required formal consideration, and proposed suspending the COP until the issue is resolved.","cop, agenda, proposed suspending cop, suspending cop issue, item, tuvalu supported aosis, agenda item required, required formal consideration, consideration proposed suspending","consideration proposed suspending, required formal consideration, resolved, supported aosis argued, agenda item required, cop, tuvalu supported aosis, cop issue"
"The EU, supported by Japan, prefered referring to efforts that parties are able to “undertake,” instead of “make unilaterally.”",,
"Noting potential use of quantitative or qualitative methodologies, Brazil supported “developing countries may also clarify the extent to which enhanced efforts are dependent upon the provision of support.”",,
"Papua New Guinea, supported by Costa Rica, Malaysia and Thailand, expressed concern that the option on land-based accounting was omitted from the Chair's draft text.","based, concern option land, draft, new guinea supported, draft text, accounting, accounting omitted chair, based accounting omitted, thailand expressed concern","thailand expressed concern, draft text, accounting, accounting omitted chair, thailand expressed, based accounting omitted, omitted chair"
"The EU, supported by the US and JAPAN, said donors should not place their resources in the hands of the COP.","eu supported, hands cop, supported, said, said donors place, place resources hands, said donors","said donors, place resources hands, cop, donors place resources, supported japan said, said donors place, place, supported"
"AOSIS, supported by SWITZERLAND and MEXICO, proposed a work programme on areas of high mitigation potential with an initial focus on energy efficiency and renewable energy.","mitigation, work programme areas, efficiency renewable energy, mexico proposed, switzerland mexico proposed, potential initial focus","potential initial focus, proposed, switzerland mexico proposed, focus energy efficiency, mitigation, aosis supported switzerland"
"On the plenary of the Compliance Committee, the G- 77/CHINA, opposed by the US, EU, AUSTRALIA, RUSSIAN FEDERATION and NEW ZEALAND, said it should have an allocation as well as a preliminary examination function.","preliminary, federation new zealand, examination function, 77 china opposed","said allocation preliminary, federation, china opposed eu, preliminary, new zealand said"
"The EU, opposed by the G-77/CHINA, said the objective of the SCCF is to assist developing countries to integrate climate change factors into national sustainable development and poverty reduction strategies, and their implementation.","assist developing, sustainable development poverty, poverty, countries integrate climate, integrate climate change, assist developing countries","assist developing countries, said objective sccf, countries integrate climate, sccf assist developing, china said objective"
"Saudi Arabia, supported by Oman and the EU, and opposed by Canada, requested the exclusion of a Canadian proposal on modalities for the accounting of assigned amounts in relation to cleaner energy exports.","requested exclusion canadian, cleaner, proposal modalities, accounting, proposal modalities accounting, accounting assigned, amounts, canada requested exclusion","canada requested exclusion, cleaner, proposal modalities, modalities accounting assigned, accounting, cleaner energy"
"The US, opposed by Brazil, noted the possibility of convening a “friends of the chair” group while continuing with drafting.","continuing, chair, noted, convening friends, group continuing drafting, continuing drafting, possibility convening friends","possibility convening friends, chair, continuing drafting, brazil noted possibility, convening friends chair, possibility"
"Australia, with the US, Canada and the EU, and opposed by the G-77/China and AOSIS, supported addressing the issue of “factoring out” direct human-induced effects from the indirect and natural effects of LULUCF activities.","factoring direct, induced effects indirect","addressing issue factoring, natural effects, supported addressing issue"
"Opposed by TUVALU, the EU recommended recording Tuvalu's concerns in the meeting's minutes instead of amending the draft conclusions.","conclusions, recommended, tuvalu eu recommended, draft, concerns meeting, instead amending, meeting minutes instead, recording tuvalu, minutes, amending draft conclusions","amending draft conclusions, minutes instead, draft, tuvalu eu recommended, concerns meeting, recording tuvalu, instead amending, recommended recording, opposed"
"The EU, opposed by SAUDI ARABIA, suggested developing a practical, longer-term work programme.","eu opposed saudi, work, practical longer term, developing practical longer","suggested developing practical, longer term work, developing practical longer, arabia suggested developing, programme, developing"
"AUSTRALIA, opposed by the G-77/CHINA, proposed adding a procedural paragraph that would list work to be done.","adding, procedural, proposed, procedural paragraph list, proposed adding procedural, adding procedural paragraph","adding procedural paragraph, procedural, australia opposed 77, proposed adding procedural, list, procedural paragraph, china proposed, china proposed adding"
"Japan, Saudi Arabia, Algeria, the United Arab Emirates, Syria, Nigeria, Libya and others, opposed by Grenada and Tuvalu, stressed the importance of including CCS under the CDM.","ccs, arab emirates syria, nigeria libya opposed, stressed importance including, libya opposed grenada","including ccs cdm, syria nigeria libya, tuvalu stressed importance, stressed importance including, nigeria libya opposed, libya opposed grenada, ccs cdm"
CHINA opposed taking a single decision on all mechanisms as this was not supported by the Protocol.,"opposed, taking single, opposed taking single, opposed taking, mechanisms supported protocol, mechanisms, china opposed taking, taking single decision","taking single decision, opposed, mechanisms supported protocol, opposed taking single, china opposed taking, decision, mechanisms supported, taking, mechanisms"
"TANZANIA, on behalf of the G-77/CHINA, noted that developing countries are the most vulnerable to climate change and the least able to adapt.","china noted, developing, developing countries vulnerable, countries vulnerable climate, noted, noted developing countries","noted developing countries, climate change able, tanzania behalf 77, vulnerable climate, noted, able adapt, china noted developing, countries"
"Emphasizing that adaptation cannot be measured and quantified, CANADA did not support linkages between the long-term temperature limit, the need for support and adaptation.","limit need support, did support linkages, long term, support linkages long, measured quantified, temperature, need support, adaptation measured quantified, emphasizing adaptation","need support adaptation, adaptation measured quantified, linkages long term, quantified canada did, temperature, emphasizing adaptation, measured quantified canada, did support linkages, need"
"Sudan, for the AFRICAN GROUP, supported by CHINA and CHILE, and opposed by the US, prefered restating the extent to which developing countries' implementation depends on the level of support.","prefered restating extent, depends level, opposed prefered restating, restating extent developing, countries, implementation depends level","implementation depends level, restating, prefered restating extent, china chile opposed, countries, countries implementation depends, restating extent developing"
"On the revision of guidelines, the US did not support deciding at COP-7 on the frequency of submission of national communications by non-LDC developing country Parties.","developing country, submission national, did support, revision guidelines did, frequency, guidelines, support deciding cop, developing country parties, did support deciding, deciding cop frequency","deciding cop frequency, ldc developing country, cop, revision guidelines did, support deciding cop, guidelines did support, submission national, developing, did support deciding"
"South Africa, for the G-77/CHINA, did not support the Chair's text and proposed forwarding both the text from SBI 22 (FCCC/SBI/2005/10 Annex 1) and the G-77/CHINA submission to SB 24 for consideration.","forwarding text, chair, 10 annex, 2005 10 annex","did support chair, forwarding text, 2005 10 annex, chair text proposed, 77 china did, 22 fccc, support chair text"
"NEW ZEALAND, the RUSSIAN FEDERATION, AUSTRALIA, JAPAN and CANADA said they could not support the encouragement of introducing quotas for Certified Emission Reductions originating from LDCs, SIDS and Africa during the second commitment period.","second commitment period, canada said support, japan canada said, commitment, said support encouragement, introducing quotas, encouragement introducing quotas","encouragement introducing quotas, quotas certified emission, originating ldcs sids, federation, said support encouragement, japan canada said, introducing quotas certified, support encouragement introducing"
"SINGAPORE, supported by PANAMA, called ICAO and IMO the ``most competent'' bodies to address emissions in their respective sectors.","supported, competent bodies, address emissions, address, address emissions respective, called, panama called icao, called icao imo","bodies address emissions, called, panama called icao, supported panama, address emissions respective, emissions respective sectors, supported panama called, singapore supported panama"
SAUDI ARABIA said he could not support the elections as proposed.,"saudi arabia, saudi, arabia, proposed, said, support elections, arabia said support, elections proposed, said support elections, support elections proposed","support elections proposed, saudi, saudi arabia said, said support elections, elections, arabia said support, proposed, support elections, saudi arabia, said support"
"However, Australia did not support text on submissions.","australia, did, support, text submissions, australia did, support text submissions, support text, did support, australia did support, did support text","did support text, australia, text submissions, did, australia did, australia did support, submissions, did support, support, support text"
Austria cannot support JI credits for constructing nuclear power plants.,"nuclear, austria, austria support ji, ji credits, constructing, constructing nuclear, support ji, support ji credits, credits constructing nuclear, constructing nuclear power","constructing nuclear power, ji credits, credits constructing nuclear, plants, support ji credits, austria, nuclear, austria support ji, constructing, nuclear power plants"
China said that it did not approve of any attempt to make developing countries accept concrete restrictive targets through amending the Convention or negotiating new protocols.,"attempt make developing, targets amending convention, did approve attempt, said did approve, make developing countries, amending convention negotiating, negotiating new protocols","negotiating new protocols, china said did, make developing countries, convention, restrictive targets amending, approve attempt make, countries accept concrete, did approve attempt, amending convention negotiating"
"On Croatia's appeal, parties agreed that the COP/MOP should note that Croatia has withdrawn its appeal.","cop mop note, croatia withdrawn appeal, agreed, mop, appeal, croatia withdrawn, note croatia withdrawn, parties agreed cop, appeal parties agreed","appeal parties agreed, mop, note croatia withdrawn, parties agreed cop, parties, croatia withdrawn, withdrawn appeal, agreed"
JAPAN said the cost of sanctions should be lower than the cost of withdrawal from the Protocol.,"japan, lower, japan said cost, said, withdrawal, protocol, cost sanctions lower, sanctions lower, said cost sanctions","said cost sanctions, withdrawal, japan said cost, sanctions lower, japan said, withdrawal protocol, sanctions lower cost, cost sanctions, said cost"
Kenya announced that it has withdrawn its offer to host the Secretariat.,"kenya, host secretariat, offer host, withdrawn, offer host secretariat, secretariat, announced, announced withdrawn, kenya announced withdrawn, kenya announced","announced withdrawn offer, kenya, kenya announced withdrawn, withdrawn, secretariat, kenya announced, offer host secretariat, host, announced withdrawn, announced"
"OTHER MATTERS: Issues relating to cleaner or less-greenhouse-gas-emitting energy: This agenda item was withdrawn in the opening COP plenary on Monday, 6 December, after Canada withdrew its proposal on cleaner energy exports.","cleaner, energy agenda item, canada withdrew, emitting energy, gas emitting energy, agenda item withdrawn, canada withdrew proposal, matters issues relating","matters issues relating, cop, december canada withdrew, cleaner greenhouse, emitting energy, canada withdrew proposal, withdrawn"
"IRAN, supported by EGYPT, requested that the Secretariat make an attributed version of the new text available, while VENEZUELA and COLOMBIA opposed.","secretariat make attributed, secretariat, requested, requested secretariat, make attributed, make attributed version","make attributed version, attributed, secretariat make attributed, secretariat, new text available, iran supported egypt, requested secretariat make, new text"
"SAUDI ARABIA rejected the Chair's proposal to establish a Friends of the Chair group to develop compromise text, and threatened to withdraw support for a similar proposal in the contact group on mechanisms.","contact group mechanisms, mechanisms, similar proposal, saudi arabia rejected, threatened withdraw, threatened withdraw support, support similar proposal","support similar proposal, threatened, compromise text threatened, establish friends chair, arabia rejected chair, withdraw support similar, text, develop compromise text, threatened withdraw"
"On the current negotiations at COP-7, Switzerland said it could not accept changes that weaken the Bonn Agreements, and stated that no country can shirk its responsibilities.","negotiations cop switzerland, stated country, weaken bonn agreements, stated country shirk, said accept, changes weaken bonn, negotiations cop, said accept changes","said accept changes, cop, negotiations cop switzerland, stated country shirk, changes weaken bonn, agreements stated country, shirk responsibilities, bonn agreements stated, agreements"
"SAUDI ARABIA said he could not accept negotiations taking place outside the FCCC bodies, and opposed the appointment of facilitators.","outside fccc bodies, appointment, taking place, fccc bodies opposed, taking place outside, said accept, accept negotiations taking","bodies opposed appointment, facilitators, taking place outside, said accept, opposed appointment, saudi arabia said, fccc bodies opposed, negotiations taking place"
"JAPAN, with a number of other Annex I Parties, indicated that he did not consider reporting under Article 3.14 to be mandatory, and could not accept a link to mechanisms eligibility.","mechanisms, indicated did consider, eligibility, consider reporting article, consider reporting, parties indicated did","accept link mechanisms, article, article 14 mandatory, article 14, indicated, parties indicated did, did consider reporting"
"LATVIA: Indulis Emsis, State Minister for the Environment, called for increased commitments for developed countries, adding that Latvia cannot accept new commitments.","called, environment called increased, new commitments, adding latvia, called increased, countries adding latvia, commitments developed countries, accept new commitments","accept new commitments, environment called increased, adding latvia accept, commitments developed countries, developed, countries adding, called increased commitments, minister"
Colombia said they could not accept a “legal outcome” or application in 2020 and cannot accept the Durban package as it stands.,"said, colombia said accept","colombia said accept, accept legal outcome, said accept legal"
"Brazil, for the G-77/CHINA, said the US position of not negotiating because the agenda item on the review of information in non-Annex I communications is in abeyance is not acceptable.","china said, negotiating, negotiating agenda, china said position, negotiating agenda item, said position negotiating","said position negotiating, position negotiating agenda, negotiating, communications abeyance acceptable, negotiating agenda item"
"SAUDI ARABIA and OMAN said sectoral targets should be restricted to Annex I parties, with OMAN stating that he would not accept further obligations beyond the UNFCCC.","sectoral targets, stating, restricted annex, oman stating accept, said sectoral, accept obligations","stating accept obligations, restricted annex, said sectoral, stating, targets restricted, accept obligations unfccc, oman, obligations"
"Bolivia opposed the decisions, stating that they represent a step backward because they postpone a decision on a second commitment period under the Kyoto Protocol “indefinitely” and “open the door for a regime that is more flexible and voluntary, and is based on a pledge-and-review system.”",,
"Saudi Arabia said that the G-77/China had not had enough time to consider the text fully, and could not accept it as a basis for discussion.","fully accept, text, basis, arabia said 77, said 77 china, consider text fully","consider text fully, said 77 china, 77 china time, fully, time consider text, arabia said 77, basis, text fully"
"Mauritania, on behalf of the G-77/China, stressed that lack of funding and support for inventory compilation and national communications significantly influenced accuracy of the data and the rate at which progress was being made.","communications significantly, funding, stressed lack funding, significantly influenced accuracy","significantly influenced accuracy, stressed, communications significantly, funding support inventory, communications significantly influenced, significantly"
"The US supported one decision for both and, with JAPAN, opposed compensation for adverse effects.","adverse, opposed, opposed compensation adverse, supported, adverse effects, decision japan, compensation, decision japan opposed, japan opposed compensation","japan opposed compensation, opposed, opposed compensation adverse, compensation adverse effects, compensation, decision japan opposed, decision japan, opposed compensation, decision"
"The US, supported by Canada, opposed translating preambular text from the Bonn Agreements into an operational paragraph.","text bonn, translating, opposed translating preambular, agreements operational paragraph, bonn agreements operational, supported, operational paragraph, paragraph, translating preambular text, canada opposed translating","canada opposed translating, agreements operational paragraph, paragraph, translating preambular text, agreements operational, opposed translating preambular, supported canada"
"China, supported by Venezuela, Papua New Guinea, United Arab Emirates, Brazil, Nigeria and Bahrain, expressed sympathy for Tuvalu's proposal, but opposed discussing proposed Protocol amendments that “do not enhance the Protocol.”",,
"OTHER MATTERS: Cleaner or less greenhouse gas-emitting energy: CANADA proposed draft decision text supported by NEW ZEALAND, POLAND, the RUSSIAN FEDERATION and SLOVENIA, and opposed by SAUDI ARABIA for the G-77/CHINA, SWITZERLAND, and the US.","text, decision text supported, draft decision, gas emitting energy, matters cleaner greenhouse, energy canada proposed, cleaner greenhouse, slovenia opposed saudi, proposed draft","canada proposed draft, russian, saudi arabia 77, slovenia opposed saudi, proposed, cleaner, russian federation slovenia, gas emitting energy"
"On a paragraph on preparation of a negotiating text by May 2015, the EU, supported by SWITZERLAND and the MARSHALL ISLANDS, and opposed by the LMDCs and CANADA, supported maintaining a reference to Article 17 of the Convention (protocols).","article 17, negotiating text, supported maintaining reference, article, canada supported maintaining","canada supported maintaining, article, 17 convention protocols, negotiating text 2015, islands opposed lmdcs, article 17, preparation negotiating"
"CHINA, supported by BOTSWANA and SENEGAL, and opposed by the EU and SRI LANKA, proposed that NGOs only be allowed to make submissions on the work programme if requested to do so by their national focal points.","requested national focal, botswana senegal opposed, programme requested national, ngos allowed, make submissions, make submissions work","make submissions work, requested, programme requested national, ngos allowed, national focal points, submissions, make submissions, china supported botswana"
"NEW ZEALAND, supported by CANADA, and opposed by the EU and JAPAN, suggested text noting that the conclusions complete the work under the agenda sub-item.","suggested, supported canada opposed, complete work agenda, zealand supported canada, noting, suggested text noting, item, japan suggested text","canada opposed eu, complete work agenda, suggested, suggested text noting, eu japan suggested, item"
"Inclusion of CCS under the CDM was supported by Australia, Saudi Arabia and others, but opposed by Brazil, Ethiopia, Grenada and others.","brazil, brazil ethiopia grenada, opposed brazil ethiopia, ccs, supported, ccs cdm, saudi arabia opposed, inclusion ccs cdm, arabia opposed brazil","ccs cdm supported, australia saudi arabia, grenada, opposed, inclusion ccs, supported australia, arabia opposed brazil, ccs, inclusion, brazil ethiopia grenada"
"The African Group, with China, for the LMDCs, and others, opposed by the EU and others, favored by the first quarter of 2015 and endeavor to do so as soon as possible thereafter.","soon possible, lmdcs, favored, lmdcs opposed eu, 2015 endeavor soon","favored quarter 2015, endeavor soon, lmdcs opposed eu, soon possible, quarter 2015 endeavor, lmdcs"
"Saudi Arabia suggested bracketing “a quantifiable mitigation component” and, with Turkey, opposed reference to “evolving” national circumstances.",,turkey opposed reference
"However, Saudi Arabia, with India, Venezuela, Algeria, Kuwait, Oman, Nigeria, Ecuador and China, opposed a contact group and preferred that the COP President or a Vice-President hold informal consultations.","ecuador china opposed, cop, president vice president, hold informal, china opposed contact, hold informal consultations","hold informal consultations, informal, group, ecuador china opposed, preferred cop president, hold informal, china opposed contact, cop, contact group preferred"
"Major differences remained, with developed countries supporting endorsement and continuation of the EGTT, while G-77/CHINA stated that EGTT is not sufficient and advocated a new body under the Convention, as well as means for monitoring implementation of Convention Article 4.5 (technology transfer).","stated egtt, developed countries, countries supporting endorsement, means monitoring implementation","supporting endorsement continuation, china stated egtt, article, differences remained developed, body convention means, developed countries, remained, stated egtt"
"The EU, with AUSTRALIA, and opposed by MALAYSIA, CHINA and ARGENTINA, said the report provided a sound basis to initiate the revised UNFCCC guidelines.","revised, revised unfccc, basis initiate revised, unfccc guidelines, sound, australia opposed malaysia, initiate revised","revised unfccc guidelines, initiate revised unfccc, initiate, australia opposed malaysia, initiate revised, sound, report provided sound, revised unfccc"
"CHINA, with SOUTH AFRICA, specified that Protocol Article 18 (compliance) refers to ""binding consequences"" and opposed the proposed terminology change.","africa specified, article 18, consequences opposed, refers binding, consequences opposed proposed, refers binding consequences","refers binding consequences, article, 18 compliance, consequences opposed proposed, proposed, proposed terminology change, compliance refers binding"
"On the inclusion of activities in decision 7/CP.7 (funding under the UNFCCC), particularly on economic diversification, the EU, with NORWAY, opposed by the G-77/CHINA, called for the deletion of the reference.","decision cp, called, funding unfccc, norway opposed 77, decision cp funding, china called deletion, particularly economic diversification, funding unfccc particularly, called deletion reference","called deletion, norway opposed 77, decision cp funding, particularly, funding unfccc particularly"
"Japan proposed deleting the paragraph, opposed by the African Group and Mexico, who underscored lack of agreement on the scope of INDCs.","deleting paragraph, opposed african group, underscored lack agreement, paragraph opposed african, agreement","mexico underscored lack, deleting paragraph, underscored, paragraph, paragraph opposed african, japan proposed, underscored lack agreement, japan proposed deleting"
"PROTOCOL ARTICLE 2.3 (ADVERSE EFFECTS): Delegates were unable to agree on this agenda item, with SAUDI ARABIA and KUWAIT urging a contact group discussion, opposed by the EU and JAPAN.","effects delegates unable, discussion opposed, article, agree agenda item, contact group discussion, kuwait urging contact, delegates unable agree","delegates unable agree, article, contact group discussion, article adverse effects, kuwait urging contact"
"The section on minimization of adverse impacts under Article 3.14 (adverse effects) was not agreed, with SAUDI ARABIA, opposed by JAPAN and others, suggesting that Parties ""shall"" rather than ""are requested to"" provide information.","impacts article 14, shall requested, japan suggesting parties, article, minimization, provide information","provide information, effects agreed saudi, article 14, article, 14 adverse effects, shall requested provide"
"AUSTRALIA reiterated her country's support for a legally-binding outcome, and flexibility concerning a single new protocol or a combination that involves the continuation of the Kyoto Protocol.","australia reiterated, support legally binding, outcome flexibility concerning, reiterated country support, concerning single new, concerning single, flexibility concerning single, involves continuation, combination involves continuation","combination involves continuation, reiterated, support legally binding, concerning single, binding outcome flexibility, protocol, australia reiterated"
CHINA reiterated the G-77/China's preference for a gas-by-gas approach.,"china, reiterated 77, china preference gas, gas gas, reiterated, approach","gas gas approach, china reiterated 77, reiterated, china reiterated, gas, approach, 77 china preference"
"The EU, supported by the US and SWITZERLAND, stressed that the focus of workstream 2 should remain on mitigation.","focus workstream remain, focus workstream, stressed, workstream remain mitigation, remain, supported, eu supported switzerland","switzerland stressed focus, supported, eu supported switzerland, remain, workstream remain mitigation, workstream remain, mitigation"
"SAUDI ARABIA, with NIGERIA and KUWAIT but opposed by ARGENTINA, CHILE and others, called for consideration of adaptation to response measures and inclusion of economic diversification in the programme of work.","called, diversification, measures, nigeria kuwait opposed, kuwait opposed argentina, adaptation response measures, called consideration, called consideration adaptation","called consideration adaptation, nigeria kuwait opposed, adaptation response, called, consideration, inclusion economic diversification, chile called"
"Sudan, for the G-77/CHINA, requested confirmation that the chairs of the open-ended drafting groups would be the chairs and facilitators who had already been working on these issues under the AWG.","chairs open ended, confirmation, 77 china requested, drafting groups chairs, requested confirmation, facilitators working issues, confirmation chairs open, facilitators","china requested confirmation, facilitators, confirmation chairs open, ended, drafting groups chairs"
"The EU noted progress in addressing the technical basis of the proposal, but identified several outstanding issues.","outstanding issues, addressing, eu noted progress, proposal identified outstanding, basis, technical basis, noted, progress addressing technical, noted progress addressing, addressing technical basis","addressing technical basis, technical basis proposal, noted, progress addressing technical, identified outstanding issues, proposal identified outstanding, eu noted progress, proposal identified"
"China said the IPCC should not give instructions on reporting to sovereign States, but agreed to accept the Chair's suggestion.","agreed accept, said, china said ipcc, instructions reporting, agreed accept chair, chair suggestion, said ipcc instructions, reporting sovereign states","reporting sovereign states, agreed accept, china said ipcc, instructions reporting sovereign, said, said ipcc instructions, accept chair suggestion, chair suggestion"
LATVIA supported the EU proposal for a Buenos Aires work plan.,"buenos aires, proposal buenos aires, proposal buenos, buenos aires work, latvia, supported, supported eu proposal","supported eu proposal, aires, latvia, supported, plan, latvia supported eu, eu proposal"
"Bangladesh, on behalf of LDCs, called for compensation for damages caused by climate change, supported adaptation efforts and NAPA implementation.","efforts, called, implementation, behalf ldcs called, called compensation damages, compensation damages caused, damages caused climate, called compensation, efforts napa implementation, ldcs called compensation","ldcs called compensation, efforts napa, compensation damages caused, called, compensation, called compensation damages, change supported adaptation, behalf ldcs called, damages caused climate"
"BRAZIL, supported by AUSTRALIA, the US and SWITZERLAND, suggested noting health co-benefits of mitigation policies.","benefits mitigation policies, mitigation, australia switzerland suggested, suggested noting, brazil supported australia, policies, switzerland suggested noting, suggested noting health, noting health benefits","noting health benefits, mitigation, brazil supported australia, suggested noting health, benefits mitigation policies, suggested, switzerland suggested noting, policies, australia switzerland suggested"
"YUGOSLAVIA, opposed by the EU, said it could not support Croatia's 1990 baseline proposal.","yugoslavia, croatia 1990 baseline, said, yugoslavia opposed eu, baseline, said support croatia","1990 baseline proposal, said support croatia, said, croatia 1990 baseline, support croatia 1990, said support, yugoslavia, yugoslavia opposed eu"
Saudi Arabia and Kuwait did not support this proposal since it would impose new conditionalities on developing countries.,"kuwait did, impose new, developing, support proposal impose, did support, conditionalities developing countries, proposal impose new, conditionalities, developing countries, impose new conditionalities","impose new conditionalities, saudi arabia kuwait, conditionalities developing countries, developing, proposal impose new, developing countries, conditionalities, did support, conditionalities developing"
"Sweden, supported by the Russian Federation and Belgium, and opposed by Oman and Nigeria, called for a dialogue on developing country commitments.","supported, developing, oman nigeria called, developing country, federation belgium opposed, called, country commitments, nigeria called dialogue, developing country commitments","developing country commitments, oman, federation belgium opposed, called dialogue, country commitments, developing, called"
"France, on behalf of the EU, accepted this compromise, and added a footnote to paragraph 2(b) that a reference to communications include regional economic integration organizations included in the Convention.","convention, footnote paragraph, footnote, communications include regional, include regional economic, added, reference communications include, accepted compromise added, added footnote paragraph","organizations included convention, added, include regional economic, footnote paragraph, compromise added footnote, accepted compromise added"
"Australia supported annual emissions updates, but recommended that the COP define comparable reporting years.","updates recommended cop, emissions updates, cop, recommended, annual emissions, years, define comparable, comparable reporting years, define comparable reporting","define comparable reporting, recommended, updates recommended cop, years, comparable reporting, cop define comparable, define, emissions updates recommended"
"Jamaica and Mexico urged countries not to support annual emissions updates. France, opposed by Germany did not support this proposal.","did support, updates, support proposal, jamaica mexico urged, annual emissions updates, updates france opposed","mexico urged countries, countries support annual, countries, opposed germany did, did support proposal, updates france opposed, mexico urged, support annual emissions"
"Japan supported by Croatia and opposed by France expressed sympathy for Tuvalu's proposoal. Tuvalu, supported by the EU said that they opposed compensation for adverse effects.","supported, opposed france expressed, adverse effects, said, said opposed, sympathy, eu said opposed, compensation adverse effects, said opposed compensation","said opposed compensation, expressed, supported croatia opposed, compensation, france expressed sympathy, compensation adverse effects, eu said opposed"
"Guatemala, for AILAC, supported by NORWAY and the US, suggested asking facilitators to propose bridging text, which the G-77/CHINA suggested be captured in another document.","asking facilitators propose, captured, bridging text, china suggested captured, facilitators, propose bridging, norway suggested asking, propose bridging text","facilitators propose bridging, captured, propose bridging text, bridging text, facilitators, china suggested captured, norway suggested"
"Guatemala, for AILAC, supported by NORWAY and the US, asked facilitators to propose bridging text, which the G-77/CHINA suggested be captured in another document.","bridging text, china suggested captured, facilitators, norway asked facilitators, propose bridging, asked facilitators, propose bridging text","facilitators propose bridging, asked facilitators, propose bridging text, captured document, facilitators, ailac supported norway"
"TIMOR-LESTE, opposed by SAMOA, the EU, the US and NEW ZEALAND, proposed moving towards “implementation of decision 8/CP4” (procedures and mechanisms on compliance) rather than towards “negotiations.”",,
"NORWAY suggested that the ADP Co-Chairs prepare a reflection note for the Presidency, which the G-77/CHINA opposed at this time.","adp, 77 china opposed, note presidency 77, adp chairs, prepare, note presidency, china opposed time, chairs prepare reflection","chairs prepare reflection, note presidency 77, norway suggested adp, presidency 77, time, suggested adp chairs, 77 china opposed"
"She suggested that the deadline for the ADP could be extended, which NORWAY and the US opposed.","extended norway, adp extended norway, norway, extended, deadline, adp extended, extended norway opposed","suggested deadline, adp extended, deadline adp, extended norway opposed, deadline adp extended, deadline"
"JAPAN, opposed by the UK, said there were actual and potential methods of estimating emissions and proposed a new paragraph under which the COP would affirm the actual method for including HFC, PFC and SF6 emissions in QELROs.","potential methods, japan opposed uk, method including hfc, paragraph, including hfc pfc, estimating emissions","affirm actual method, actual method including, emissions proposed new, paragraph, methods estimating emissions, japan opposed uk, including hfc pfc"
